id,age_group,gender,self_pref_roast,A_pref,B_pref,C_pref,D_pref,fav_sample
Zd694B,<18 years old,Other (please specify),Light,1.0,1.0,1.0,1.0,Coffee B
QAeYZY,>65 years old,,Blonde,3.0,3.0,3.0,3.0,Coffee D
QA5JYA,25-34 years old,Female,Medium,3.0,3.0,3.0,3.0,Coffee B
jyDqva,18-24 years old,,Nordic,4.0,4.0,4.0,4.0,Coffee A
ylqbBg,45-54 years old,Male,Light,4.0,5.0,3.0,3.0,Coffee B
oAVNdO,>65 years old,,Dark,3.0,3.0,,4.0,Coffee C
YZzBdN,25-34 years old,Male,Light,4.0,4.0,4.0,4.0,Coffee A
VZ17Z6,35-44 years old,Male,Light,3.0,4.0,1.0,5.0,Coffee D
RzBeZj,45-54 years old,Male,Dark,4.0,2.0,2.0,2.0,Coffee A
WApbkQ,35-44 years old,Male,Blonde,5.0,4.0,4.0,3.0,Coffee A
0Ej0WA,45-54 years old,Male,Light,3.0,4.0,3.0,5.0,Coffee D
9dJYlQ,35-44 years old,Male,Medium,2.0,3.0,4.0,5.0,Coffee D
OABqpR,25-34 years old,,Medium,1.0,3.0,2.0,2.0,Coffee B
bl41Zg,45-54 years old,Male,Medium,4.0,2.0,5.0,4.0,Coffee D
GrBVrk,25-34 years old,,Medium,3.0,3.0,3.0,2.0,Coffee C
WApbYk,35-44 years old,Female,Light,3.0,2.0,1.0,5.0,Coffee D
eBxG20,35-44 years old,Male,Medium,1.0,2.0,3.0,4.0,Coffee C
NAB2qB,25-34 years old,Male,Dark,3.0,5.0,4.0,2.0,Coffee B
RzBqoJ,35-44 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
5dqajd,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
VZ1W0E,35-44 years old,Male,Medium,4.0,3.0,3.0,1.0,Coffee A
NABN5G,45-54 years old,Female,Dark,1.0,5.0,3.0,1.0,Coffee B
6dQY8o,25-34 years old,Male,Light,4.0,4.0,3.0,5.0,Coffee D
WAp6va,45-54 years old,Male,Dark,2.0,4.0,3.0,2.0,Coffee B
OABqQp,35-44 years old,Male,Medium,5.0,4.0,4.0,4.0,Coffee A
jB9r21,25-34 years old,Male,Medium,3.0,3.0,3.0,4.0,Coffee D
pLPYLE,25-34 years old,Male,Light,5.0,1.0,2.0,4.0,Coffee A
oAV8yX,35-44 years old,,Light,5.0,1.0,1.0,5.0,Coffee A
g5NPxK,25-34 years old,Male,Light,3.0,3.0,3.0,4.0,Coffee D
bl41kE,25-34 years old,Male,Light,5.0,2.0,4.0,3.0,Coffee A
GrBO1z,45-54 years old,Male,Medium,4.0,4.0,1.0,5.0,Coffee D
xdN8Q9,25-34 years old,Male,Light,4.0,3.0,3.0,4.0,Coffee D
vNx8Xv,35-44 years old,Female,Medium,4.0,5.0,2.0,1.0,Coffee B
dY2JPN,18-24 years old,Male,Light,4.0,3.0,3.0,2.0,Coffee C
MAdjLE,35-44 years old,Male,Nordic,3.0,2.0,3.0,4.0,Coffee D
6dQ6xo,25-34 years old,Male,Medium,5.0,2.0,5.0,4.0,Coffee C
